"X1","X2","X3","X4","X5"
"t_ONO_11","0.001","0.000","0.999","0.000"
"t_ONO_12","0.000","0.000","1.000","0.000"
"t_ONO_13","0.000","0.000","1.000","0.000"
"t_ONO_14","0.000","0.000","1.000","0.000"
"t_ONO_15","0.010","0.000","0.990","0.000"
"t_ONO_16","0.000","0.000","1.000","0.000"
"t_ONO_17","0.996","0.000","0.004","0.000"
"t_ONO_18","0.999","0.000","0.001","0.000"
"t_ONO_19","0.940","0.003","0.057","0.000"
"t_ONO_20","0.000","0.000","1.000","0.000"
"t_ONO_21","0.000","0.000","1.000","0.000"
"t_ONO_22","0.978","0.000","0.022","0.000"
"t_ONO_23","0.004","0.000","0.996","0.000"
"t_ONO_24","0.033","0.000","0.967","0.000"
"t_ONO_25","0.000","0.000","1.000","0.000"
"t_ONO_26","0.000","0.000","1.000","0.000"
"t_ONO_27","0.000","0.000","1.000","0.000"
"t_ONO_28","0.932","0.000","0.068","0.000"
"t_ROC_01","0.000","1.000","0.000","0.000"
"t_ROC_02","0.000","0.916","0.084","0.000"
"t_ROC_03","0.000","1.000","0.000","0.000"
"t_ROC_04","0.000","1.000","0.000","0.000"
"t_ROC_05","0.000","1.000","0.000","0.000"
"t_ROC_06","0.000","1.000","0.000","0.000"
"t_ROC_07","0.000","1.000","0.000","0.000"
"t_ROC_08","0.000","1.000","0.000","0.000"
"t_ROC_09","0.000","1.000","0.000","0.000"
"t_ROC_10","0.000","0.001","0.999","0.000"
"t_ROC_11","0.000","1.000","0.000","0.000"
"t_ROC_12","0.000","1.000","0.000","0.000"
"t_ROC_13","0.000","1.000","0.000","0.000"
"t_ROC_14","0.000","0.993","0.000","0.007"
"t_ROC_15","0.000","1.000","0.000","0.000"
"t_ROC_16","0.000","1.000","0.000","0.000"
"t_ROC_17","0.000","0.003","0.997","0.000"
"t_ROC_18","0.000","1.000","0.000","0.000"
"t_ROC_19","0.000","1.000","0.000","0.000"
"t_ROC_20","0.000","1.000","0.000","0.000"
"t_ROC_21","0.000","0.999","0.001","0.000"
"t_ROC_22","0.000","1.000","0.000","0.000"
"t_ROC_23","0.000","0.998","0.000","0.002"
"t_ROC_24","0.000","1.000","0.000","0.000"
"t_ROC_25","0.000","1.000","0.000","0.000"
"t_ROC_26","0.000","1.000","0.000","0.000"
"t_ROC_27","0.000","0.999","0.000","0.001"
"t_ROC_28","0.000","0.025","0.975","0.000"
"t_ONE_01","1.000","0.000","0.000","0.000"
"t_ONE_02","1.000","0.000","0.000","0.000"
"t_ONE_03","1.000","0.000","0.000","0.000"
"t_ONE_04","1.000","0.000","0.000","0.000"
"t_ONE_05","1.000","0.000","0.000","0.000"
"t_ONE_06","1.000","0.000","0.000","0.000"
"t_ONE_07","0.999","0.000","0.001","0.000"
"t_ONE_08","1.000","0.000","0.000","0.000"
"t_ONE_09","1.000","0.000","0.000","0.000"
"t_ONE_10","1.000","0.000","0.000","0.000"
"t_ONE_11","1.000","0.000","0.000","0.000"
"t_ONE_12","1.000","0.000","0.000","0.000"
"t_ONE_13","1.000","0.000","0.000","0.000"
"t_ONE_14","1.000","0.000","0.000","0.000"
"t_ONE_15","1.000","0.000","0.000","0.000"
"t_ONE_16","1.000","0.000","0.000","0.000"
"t_ONE_17","1.000","0.000","0.000","0.000"
"t_ONE_18","1.000","0.000","0.000","0.000"
"t_ONE_19","0.998","0.002","0.000","0.000"
"t_ONE_20","1.000","0.000","0.000","0.000"
"t_ONE_21","1.000","0.000","0.000","0.000"
"t_ONE_22","1.000","0.000","0.000","0.000"
"t_ONE_23","1.000","0.000","0.000","0.000"
"t_ONE_24","1.000","0.000","0.000","0.000"
"t_ONE_25","1.000","0.000","0.000","0.000"
"t_ONE_26","1.000","0.000","0.000","0.000"
"t_ONE_27","1.000","0.000","0.000","0.000"
"t_ONE_28","1.000","0.000","0.000","0.000"
"t_OSW_01","0.000","1.000","0.000","0.000"
"t_OSW_02","0.001","0.999","0.000","0.001"
"t_OSW_03","0.000","1.000","0.000","0.000"
"t_OSW_04","0.000","1.000","0.000","0.000"
"t_OSW_05","0.000","1.000","0.000","0.000"
"t_OSW_06","0.000","1.000","0.000","0.000"
"t_OSW_07","0.000","1.000","0.000","0.000"
"t_OSW_08","0.960","0.040","0.000","0.000"
"t_OSW_09","0.989","0.011","0.000","0.000"
"t_OSW_10","0.000","0.944","0.000","0.056"
"t_OSW_11","0.000","1.000","0.000","0.000"
"t_OSW_12","0.000","1.000","0.000","0.000"
"t_OSW_13","0.905","0.095","0.000","0.000"
"t_OSW_14","0.000","1.000","0.000","0.000"
"t_OSW_15","0.000","1.000","0.000","0.000"
"t_OSW_16","0.000","1.000","0.000","0.000"
"t_OSW_17","0.013","0.985","0.000","0.002"
"t_OSW_18","0.000","1.000","0.000","0.000"
"t_OSW_19","0.000","1.000","0.000","0.000"
"t_OSW_20","0.927","0.010","0.063","0.000"
"t_OSW_21","0.000","1.000","0.000","0.000"
"t_OSW_22","0.000","1.000","0.000","0.000"
"t_OSW_23","0.000","1.000","0.000","0.000"
"t_OSW_24","0.000","1.000","0.000","0.000"
"t_OSW_25","0.000","1.000","0.000","0.000"
"t_OSW_26","0.000","1.000","0.000","0.000"
"t_OSW_27","0.000","1.000","0.000","0.000"
"t_OSW_28","0.015","0.985","0.000","0.000"
"t_CAY_01","0.000","0.000","1.000","0.000"
"t_CAY_02","0.000","0.000","1.000","0.000"
"t_CAY_03","0.000","0.000","1.000","0.000"
"t_CAY_04","0.000","0.000","1.000","0.000"
"t_CAY_05","0.000","0.000","1.000","0.000"
"t_CAY_06","0.000","0.000","1.000","0.000"
"t_CAY_07","0.000","0.000","1.000","0.000"
"t_CAY_08","0.000","0.000","1.000","0.000"
"t_CAY_09","0.000","0.000","1.000","0.000"
"t_CAY_10","0.000","0.000","1.000","0.000"
"t_CAY_11","0.000","0.000","1.000","0.000"
"t_CAY_12","0.000","0.000","1.000","0.000"
"t_CAY_13","0.000","0.000","1.000","0.000"
"t_CAY_14","0.000","0.000","1.000","0.000"
"t_CAY_15","0.000","0.000","1.000","0.000"
"t_ERIW_01","0.000","0.001","0.000","0.999"
"t_ERIW_02","0.086","0.751","0.000","0.162"
"t_ERIW_03","0.000","0.000","0.000","1.000"
"t_ERIW_04","0.000","0.000","0.000","1.000"
"t_ERIW_05","0.000","0.004","0.000","0.996"
"t_ERIW_06","0.000","0.009","0.000","0.991"
"t_ERIW_07","0.002","0.007","0.000","0.991"
"t_ERIW_08","0.000","0.001","0.000","0.999"
"t_ERIW_09","0.001","0.000","0.002","0.998"
"t_ECAN_01","0.001","0.000","0.999","0.000"
"t_ECAN_02","0.000","0.000","1.000","0.000"
"t_ECAN_03","0.003","0.004","0.993","0.001"
"t_ECAN_04","0.000","0.000","1.000","0.000"
"t_ECAN_05","0.000","0.000","1.000","0.000"
"t_ECAN_06","0.000","0.000","1.000","0.000"
"t_ECAN_07","0.000","0.000","1.000","0.000"
"t_ECAN_08","0.000","0.000","1.000","0.000"
"t_ECAN_09","0.000","0.000","1.000","0.000"
"t_ECAN_10","0.000","0.000","1.000","0.000"
"t_ECAN_11","0.000","0.000","1.000","0.000"
"t_ECAN_12","0.000","0.000","1.000","0.000"
"t_ECAN_13","0.000","0.000","1.000","0.000"
"t_ECAN_14","0.000","0.000","1.000","0.000"
"t_ECAN_15","0.000","0.000","1.000","0.000"
"t_ECAN_16","0.000","0.000","1.000","0.000"
"t_ECAN_17","0.000","0.000","1.000","0.000"
"t_ECAN_18","0.001","0.000","0.999","0.000"
"t_ECAN_19","0.000","0.000","1.000","0.000"
"t_ECAN_20","0.111","0.025","0.864","0.000"
"t_ERIE_01","0.000","0.000","1.000","0.000"
"t_ERIE_02","0.000","0.920","0.080","0.000"
"t_ERIE_03","0.000","0.825","0.175","0.000"
"t_ERIE_04","0.074","0.025","0.879","0.022"
"t_ERIE_05","0.006","0.003","0.988","0.003"
"t_ERIE_06","0.000","0.035","0.965","0.000"
"t_ERIE_07","0.000","0.000","1.000","0.000"
"t_ERIE_08","0.000","0.380","0.617","0.003"
"t_ERIE_09","0.000","0.001","0.999","0.000"
"t_ERIE_10","0.000","0.037","0.963","0.000"
"t_ERIE_11","0.000","0.000","1.000","0.000"
"t_ERIE_12","0.021","0.558","0.421","0.000"
"t_ERIE_13","0.002","0.015","0.983","0.000"
"t_LSC_01","0.000","0.000","0.000","1.000"
"t_LSC_02","0.000","0.000","0.000","1.000"
"t_LSC_03","0.000","0.000","0.000","1.000"
"t_LSC_04","0.000","0.006","0.000","0.994"
"t_LSC_05","0.049","0.000","0.044","0.907"
"t_LSC_06","0.000","0.144","0.000","0.856"
"t_LSC_07","0.000","0.000","0.000","1.000"
"t_LSC_08","0.000","0.000","0.000","1.000"
"t_LSC_09","0.000","0.000","0.000","1.000"
"t_LSC_10","0.000","0.001","0.000","0.999"
"t_LSC_11","0.000","0.080","0.000","0.920"
"t_LSC_12","0.000","0.000","0.000","1.000"
"t_LSC_13","0.000","0.001","0.106","0.893"
"t_LSC_14","0.000","0.000","0.000","1.000"
"t_CRO_01","0.000","0.000","1.000","0.000"
"t_CRO_02","0.000","0.000","1.000","0.000"
"t_CRO_03","0.000","0.000","1.000","0.000"
"t_CRO_04","0.000","0.000","1.000","0.000"
"t_CRO_05","0.000","0.000","1.000","0.000"
"t_CRO_06","0.000","0.000","1.000","0.000"
"t_CRO_07","0.000","0.000","1.000","0.000"
"t_CRO_08","0.000","0.000","1.000","0.000"
"t_CRO_09","0.000","0.000","1.000","0.000"
"t_CRO_10","0.000","0.000","1.000","0.000"
"t_CRO_11","0.000","0.000","1.000","0.000"
"t_CRO_12","0.000","0.000","1.000","0.000"
"t_CRO_13","0.000","0.000","1.000","0.000"
"t_CRO_14","0.000","0.000","1.000","0.000"
"t_CRO_15","0.000","0.000","1.000","0.000"
"t_CRO_16","0.000","0.000","1.000","0.000"
"t_CRO_17","0.000","0.000","1.000","0.000"
"t_CRO_18","0.000","0.000","1.000","0.000"
